date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:56:53	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Jul%202020%2010:56:54%20GMT	https://www.aryl.ml/robots.txt		(from )
12:56:53	18379/18379	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2018:08:54%20GMT	https://www.aryl.ml/	C:/My%20Web%20Sites/Aryl/aryltest/www.aryl.ml/index.html	(from )
12:56:54	11388/11388	---M--	200	added ('OK')	image/png	date:Mon,%2018%20May%202020%2005:04:52%20GMT	https://www.aryl.ml/img/favicon.png	C:/My%20Web%20Sites/Aryl/aryltest/www.aryl.ml/img/favicon.png	(from https://www.aryl.ml/)
12:56:55	29086/29086	---M--	200	added ('OK')	text/css	date:Wed,%2026%20Jul%202017%2009:35:30%20GMT	https://www.aryl.ml/css/font-awesome.min.css	C:/My%20Web%20Sites/Aryl/aryltest/www.aryl.ml/css/font-awesome.min.css	(from https://www.aryl.ml/)
12:56:56	21763/21763	---M--	200	added ('OK')	text/css	date:Wed,%2026%20Jul%202017%2009:35:26%20GMT	https://www.aryl.ml/css/elegant-font-icons.css	C:/My%20Web%20Sites/Aryl/aryltest/www.aryl.ml/css/elegant-font-icons.css	(from https://www.aryl.ml/)
12:56:57	5866/5866	---M--	200	added ('OK')	text/css	date:Wed,%2026%20Jul%202017%2009:35:28%20GMT	https://www.aryl.ml/css/elegant-line-icons.css	C:/My%20Web%20Sites/Aryl/aryltest/www.aryl.ml/css/elegant-line-icons.css	(from https://www.aryl.ml/)
12:56:58	75689/75689	---M--	200	added ('OK')	text/css	date:Wed,%2026%20Jul%202017%2009:35:24%20GMT	https://www.aryl.ml/css/animate.min.css	C:/My%20Web%20Sites/Aryl/aryltest/www.aryl.ml/css/animate.min.css	(from https://www.aryl.ml/)
12:56:59	113502/113502	---M--	200	added ('OK')	text/css	date:Wed,%2026%20Jul%202017%2009:35:28%20GMT	https://www.aryl.ml/css/bootstrap.min.css	C:/My%20Web%20Sites/Aryl/aryltest/www.aryl.ml/css/bootstrap.min.css	(from https://www.aryl.ml/)
12:56:59	2833/2833	---M--	200	added ('OK')	text/css	date:Wed,%2026%20Jul%202017%2009:52:46%20GMT	https://www.aryl.ml/css/venobox/venobox.css	C:/My%20Web%20Sites/Aryl/aryltest/www.aryl.ml/css/venobox/venobox.css	(from https://www.aryl.ml/)
12:57:01	17761/17761	---M--	200	added ('OK')	text/css	date:Wed,%2026%20Jul%202017%2009:35:34%20GMT	https://www.aryl.ml/css/swiper.min.css	C:/My%20Web%20Sites/Aryl/aryltest/www.aryl.ml/css/swiper.min.css	(from https://www.aryl.ml/)
